State	Up	Down	Left	Right
(1, 4, 1, 12)	0	0	-1.4000000000000001	0
(1, 4, 1, 13)	0	0	0	0
(1, 4, 2, 0)	0	0	0	0
(1, 4, 2, 1)	-710.1765608840168	-691.7229121117911	-691.6931837794394	-696.4573181463156
(1, 4, 2, 2)	-663.1204611187795	-630.9000397637554	-632.6583556556795	-603.9134338851609
(1, 4, 2, 3)	0	0	0	0
(1, 4, 2, 4)	-622.5864852145664	-643.6079658700296	-621.0132559515463	-634.8789408325969
(1, 4, 2, 5)	-241.28510434033444	-190.33627934219533	-214.76518568233027	-322.14472564385443
(1, 4, 2, 6)	0	0	0	0
(1, 4, 2, 7)	0	0	0	0
(1, 4, 2, 8)	-72.9348655077153	-72.70132282813012	-73.08025895063169	-77.31624344924258
(1, 4, 2, 9)	-72.1752108391587	-71.91937500488338	-71.81854919219326	-77.78791912013983
(1, 4, 2, 10)	-23.021927365118735	-24.697162342271305	-23.012194483033866	-23.946085204461433
(1, 4, 2, 11)	-63.666998841271635	-48.99775861462352	-49.27411055564892	-49.26005408075153
(1, 4, 2, 12)	0	0	0	0
(1, 4, 2, 13)	0	0	0	0
(1, 4, 3, 0)	0	0	0	0
(1, 4, 3, 1)	-647.9470733281332	-640.5962581655466	-649.6176211775643	-617.1556935132455
(1, 4, 3, 2)	-688.4621256974672	-665.8730963281974	-659.5186034241821	-648.9390219970404
(1, 4, 3, 3)	0	0	0	0
(1, 4, 3, 4)	-592.1042695890031	-609.2198662444431	-592.0659915463203	-591.6315920651141
(1, 4, 3, 5)	-471.5016010951121	-423.9096842201069	-440.45811859717	-51.619990688643455
(1, 4, 3, 6)	0	0	0	0
(1, 4, 3, 7)	-69.4975208796251	-69.85411332975353	-69.42932254190158	-70.23190496256449
(1, 4, 3, 8)	-77.16975970379727	-73.26610834545687	-73.4241142286497	-74.12396460457023
(1, 4, 3, 9)	-58.597686212142506	-64.2491959992224	-58.42597518046543	-58.95796405665343
(1, 4, 3, 10)	-76.4221617326122	-94.67249852455907	-76.13482485701667	-76.82681049135233
(1, 4, 3, 11)	0	0	0	0
(1, 4, 3, 12)	0	0	0	0
(1, 4, 3, 13)	0	0	0	0
(1, 4, 4, 0)	0	0	0	0
(1, 4, 4, 1)	-692.6914274655583	-631.7795854674786	-693.3967505240073	-694.0753445433255
(1, 4, 4, 2)	-708.5736349701178	-699.4223620177179	-700.5357337509175	-699.0349253099514
(1, 4, 4, 3)	0	0	0	0
(1, 4, 4, 4)	-501.7662674652033	-530.6061040649973	-503.7322652445229	-504.7170390437106
(1, 4, 4, 5)	-391.2754093394965	-351.899464547192	-371.46508458946613	-36.62741198013851
(1, 4, 4, 6)	-242.65576353840197	-256.82184386815175	-236.7776781148305	-237.56954696330013
(1, 4, 4, 7)	-99.41801263839463	-100.18475878887334	-101.27280707543993	-116.23436730721627
(1, 4, 4, 8)	-98.98990649120837	-98.32685248833235	-98.49789833022727	-102.80353147375833
(1, 4, 4, 9)	-84.6660693123093	-83.94187585136596	-84.35048323132419	-85.5892669137012
(1, 4, 4, 10)	-102.06119783547176	-103.00578446177835	-102.4661258547267	-119.03617185163169
(1, 4, 4, 11)	0	0	0	0
(1, 4, 4, 12)	0	0	0	0
(1, 4, 4, 13)	0	0	0	0
(1, 4, 5, 0)	0	0	0	0
(1, 4, 5, 1)	0	0	0	0
(1, 4, 5, 2)	0	0	0	0
(1, 4, 5, 3)	0	0	0	0
(1, 4, 5, 4)	0	0	0	0
(1, 4, 5, 5)	0	0	0	0
(1, 4, 5, 6)	0	0	0	0
(1, 4, 5, 7)	0	0	0	0
(1, 4, 5, 8)	0	0	0	0
(1, 4, 5, 9)	0	0	0	0
(1, 4, 5, 10)	0	0	0	0
(1, 4, 5, 11)	0	0	0	0
(1, 4, 5, 12)	0	0	0	0
(1, 4, 5, 13)	0	0	0	0
